"Est","SE","SE.B"
1.938552106,0.086911984,0.087508629
1.950147006,0.086544815,0.085532979
1.923083352,0.084884983,0.085451229
1.911591072,0.089157003,0.089264609
1.865550174,0.086019405,0.086069177
1.815225291,0.085634573,0.085301137
1.721503575,0.092266401,0.091943341
2.051754257,0.086643533,0.085979943
1.992193295,0.089433207,0.089693823
1.970790927,0.086965048,0.087136161
1.98308063,0.091727177,0.092163465
1.953722605,0.083466506,0.084927607
2.045336962,0.086158571,0.085520278
2.012841164,0.087810332,0.086710302
2.054711998,0.088351784,0.087737039
1.945293259,0.0920148,0.092481237
1.992975267,0.086726522,0.085640323
1.992291767,0.088555474,0.087945519
2.099711887,0.088819577,0.089044603
1.913511829,0.087826601,0.087876325
1.97708989,0.089661919,0.088574322
1.905525181,0.086235455,0.086147695
1.960125232,0.089949241,0.089906563
1.987599551,0.088005453,0.088145104
1.928676507,0.088374894,0.087901865
2.016735845,0.089158673,0.089020387
1.89424861,0.087124435,0.086937906
1.868128216,0.093018587,0.092745744
1.936451668,0.081352926,0.081459795
2.011817821,0.085513314,0.085359688
1.995889115,0.080732685,0.080695037
2.119609507,0.086102852,0.087090859
1.964693978,0.087163802,0.087050347
1.833536937,0.08432463,0.084636452
2.075729812,0.081703729,0.081157328
2.138861238,0.08780247,0.087239103
2.091928926,0.085929581,0.08436232
2.064451613,0.086739287,0.086506092
1.846050765,0.084665797,0.08346922
2.055843578,0.086340927,0.08640152
2.001056514,0.086213908,0.084722524
1.951567308,0.083034765,0.084136296
2.010145594,0.090143731,0.089338636
2.098162918,0.086421851,0.084900897
2.14558966,0.085553291,0.086069225
2.112839289,0.088593333,0.08754448
2.011096362,0.091088762,0.091145048
1.926678549,0.080403779,0.080917344
1.999543589,0.087567855,0.088008377
2.14602771,0.087755837,0.087662002
2.045363873,0.087474968,0.087302164
1.98241048,0.092187993,0.091935687
1.851331698,0.089416141,0.089394591
2.002432092,0.086748966,0.08803688
2.045358694,0.081490328,0.080840122
1.790544971,0.090126888,0.091108027
1.995634356,0.08443847,0.083753838
2.014393444,0.08489671,0.083605084
1.867052823,0.088206593,0.087744585
1.825167694,0.082938988,0.083086106
1.895066672,0.084036351,0.084631149
2.042300494,0.086217913,0.086496735
2.056165256,0.085051772,0.084835092
2.018743378,0.088316111,0.088691448
1.986815817,0.0922053,0.09099711
1.889670993,0.092296533,0.091301786
2.028903571,0.086257829,0.086399823
1.902994274,0.089652546,0.090108824
1.838822721,0.090235201,0.08932658
1.985856216,0.084899711,0.085761372
1.917504427,0.090172458,0.088991786
1.876477902,0.085228144,0.084403562
2.065842238,0.082146114,0.082261965
2.046317828,0.08192347,0.081418105
1.947599812,0.087976421,0.088148417
1.990990795,0.084988667,0.085217693
2.01751368,0.090517793,0.090314735
2.095719623,0.080757402,0.080078642
2.016519017,0.086895401,0.086149931
2.052209758,0.087343796,0.086760438
1.866222596,0.082716215,0.083895857
2.131798601,0.093298541,0.093469552
2.087141735,0.088940621,0.089112789
1.988476158,0.087549916,0.087610278
1.972827224,0.08647003,0.086271788
1.986585617,0.085077133,0.085024551
2.032243406,0.085065895,0.085074651
1.86810641,0.088337041,0.088589326
1.950841667,0.085838493,0.085732282
2.103432099,0.085344757,0.084557702
2.020988355,0.081952639,0.081658589
1.876784175,0.085196596,0.086095573
2.134236693,0.09069507,0.090393674
2.14596154,0.093412374,0.09283271
1.98288239,0.089187593,0.088323748
2.057451574,0.082138056,0.081944646
1.953285456,0.085516083,0.085221775
2.087224881,0.085164354,0.084727569
2.087803818,0.086309233,0.085889687
2.121974631,0.092118898,0.091541273
1.780349481,0.083087632,0.082695738
2.106450276,0.081476553,0.081499577
1.89324778,0.085943674,0.086451572
1.974691845,0.093018259,0.0931748
2.012055341,0.083708853,0.083940386
2.061453875,0.083719817,0.084499567
1.889587994,0.085802631,0.085928766
1.806876059,0.091640933,0.09144405
2.169691062,0.089229432,0.09089489
1.881808725,0.087013946,0.086958803
1.872551922,0.078507214,0.07968369
1.866663012,0.088233804,0.087744132
1.971804019,0.090507899,0.090985199
1.97375975,0.084191004,0.084202087
1.977436577,0.085185757,0.085933172
2.005055053,0.088475036,0.089459416
2.115920324,0.084319648,0.085126273
1.910755984,0.091881324,0.091874645
2.078914785,0.089701758,0.089911798
2.0944154,0.088946166,0.088205045
1.961408586,0.089934533,0.089832716
2.081904617,0.088386318,0.087827927
1.813793415,0.085308882,0.084557877
