"N","MSE.h11","MSE.h01","MSE.h00","MSE.h2","MSE.q0","MSE.q11"
800,0.0466917528175279,0.0283678839059669,0.0148411505879125,0.00521867086549195,0.182105072969142,0.278924768932038
800,0.0172603583647513,0.0156250961551774,0.0149653887624283,0.00561587213547411,0.0541872092704285,0.255536004084193
800,0.0143984277108683,0.00477685144970068,0.00522422286337913,0.00378661580512812,0.275754773412235,0.385885338388046
800,0.086577510246964,0.0392156469344545,0.0264117220532722,0.0197867692852196,0.0862818744425578,0.712771864539341
800,0.0252929595841969,0.0180961017213768,0.010297736581862,0.00242324444003714,0.115621253844393,0.919857443363578
800,0.0691657416535378,0.00576101842152816,0.00547966574931969,0.00657497632026173,0.0418785788287677,0.276999216508852
800,0.0359921877625634,0.0409612475739717,0.0118399534978284,0.00970192245953968,0.0260232414886086,0.236737116473866
800,0.0406716264245943,0.0519542250119724,0.0517157825298138,0.00563285796759108,0.0107285578504336,0.773423799420413
800,0.0380215603410808,0.0446823729708553,0.0277735995520665,0.00773322070368135,0.137846546148996,0.35800035818369
800,0.0374521524285881,0.0157133393991494,0.00990555674330689,0.00978880707811264,0.0497675537139253,0.874753477215726
800,0.0159763112227318,0.0189433248884209,0.0226811022947747,0.00632068018922255,0.118131884859356,0.332829255205769
800,0.0808593954380868,0.00895762367048526,0.00933095305082306,0.00482766351940466,0.11614856827029,0.301998275140402
800,0.235043118640601,0.0281063562512311,0.0111221900268768,0.00665754363439817,0.100921560673333,0.548985576681537
800,0.0228167276874838,0.0141917057749193,0.00604765035169578,0.0118069476948407,0.0386724439208814,0.286547650167265
800,0.0421314199557969,0.0176126256176613,0.0087111027018741,0.00795309222376769,0.106823527835264,0.320294993529104
800,0.0171802968133499,0.0333819427576754,0.0164345700187586,0.0184256915101861,0.0358886827115436,0.185074566688874
800,0.056318667078524,0.0426681817462037,0.00894200020636539,0.0134076739055491,0.097693101405811,0.1143552053933
800,0.0669264277945688,0.0314816876300013,0.00480830392272374,0.00215538421269813,0.0305296382119127,0.38512220343637
800,0.159289588551599,0.0554552054630438,0.00633506700404135,0.00620304382311087,0.0444695926800879,0.340887661076636
800,0.086961759411106,0.0270700881456433,0.00966772487782059,0.0159052397374575,0.104630859235912,0.242690555871768
800,0.156547317956025,0.0442341830329897,0.0176742318302085,0.00537857434606706,0.0870119449709789,0.275516329027059
800,0.026808916560473,0.0475050263277288,0.0198917155959435,0.0179461233302254,0.309612882525814,0.740814010062824
800,0.0785248554291373,0.0372715585976836,0.0192878681514689,0.00802100400164297,0.119681092366525,3.78164923107444
800,0.0856590160036512,0.0350535965857433,0.00178771506082675,0.00792219343449992,0.0670865393309998,0.675801340058184
800,0.0282552715851917,0.0199461491765845,0.00640150587120395,0.0200838358584381,0.132947108274762,0.4333136776533
800,0.0369096487361543,0.0351486599517108,0.0223791910223155,0.00702574494872114,0.0792867250841088,0.128830971483319
800,0.0369469293290369,0.0223173739423509,0.0158759803251205,0.0109569346736426,0.100737014282127,0.303071762761074
800,0.137786076069396,0.0337001944177494,0.0248254169686572,0.0131919723221778,0.0656162611279434,0.508713344349724
800,0.162505648697502,0.0314714345132361,0.014137590963231,0.0115965333338523,0.159296737311962,0.524132483870609
800,0.00521186265028474,0.0377282171928641,0.0150000615459113,0.0189683039899191,0.0293670807770114,0.324381622049384
800,0.115908860051047,0.04617441745383,0.0211072287829133,0.00655677867247606,0.0945044490077626,0.126160332561576
800,0.0379883381252871,0.0540256079733035,0.0126190201605738,0.010740117092885,0.039540805880492,0.547521716619939
800,0.0264736341866934,0.0353147558233814,0.016892527997789,0.0135859453394788,0.135633205146351,0.264615314483103
800,0.0662844302290845,0.039650748035574,0.00479779281098047,0.00522214850108423,0.0615196977910576,0.191422043861496
800,0.0394666879680987,0.014958266383975,0.0134466354764268,0.00264484462944406,0.0981107698906055,0.752432589039499
800,0.097676203798041,0.0798530518749082,0.00884895543953932,0.0122757858401599,0.0250690566240107,0.199418526750564
800,0.0924127560552162,0.0378974352332124,0.00691110626110151,0.0173603532249589,0.104972166891614,0.347439613373872
800,0.107122080928775,0.0281777612282568,0.0121535400871387,0.0120632545767423,0.101829169341866,0.149706423197779
800,0.0415908611334652,0.0208150050192098,0.0198903800555455,0.00937047584680143,0.0191041503739074,0.34774612826116
800,0.0361929719124266,0.024011802074781,0.0272535692250556,0.0125624287332142,0.085409758463827,0.209163137186084
800,0.0264752487932512,0.0123178245102441,0.0268201145117461,0.00501492992730536,0.132574278391917,0.226693912443265
800,0.0736101043890204,0.100106884462172,0.00872059364682705,0.0165263368096744,0.0680251722859294,0.215453134410244
800,0.0169061424544041,0.0185189513939693,0.0188308078681207,0.00646440798033462,0.0610381243319727,0.839902342684756
800,0.068935538492435,0.068564640889313,0.0858226975576434,0.00660187843405989,0.062838405527427,0.172575544326453
800,0.025597414120098,0.0299636389166547,0.0134762266448332,0.0090066560217031,0.0582934928578102,0.190944662757901
800,0.0213719040106207,0.0115028169935541,0.0144854583621319,0.00301162381549321,0.0270018909573086,0.263805817538304
800,0.0627632067888994,0.0230752052323856,0.00997871533613318,0.0111946394104168,0.0988798074204177,0.809850696100367
800,0.011527156251075,0.0158878664135988,0.0120923899406888,0.00805887464537915,0.0234809049576972,0.158991281628114
800,0.146912074743933,0.0550436083031689,0.0134566217406576,0.00149927086420445,0.0793386963789469,0.521818142440795
800,0.0581960086165786,0.0372701995272719,0.0183409288013784,0.00717568904212233,0.0898046135502102,0.179637150071756
800,0.0343165278502047,0.044999159913651,0.0163642229930374,0.00699422267309979,0.13482679323189,0.66578672540381
800,0.0537763972886197,0.028830094302107,0.00712903339495465,0.00983359356390003,0.0180349966451086,0.643387317955406
800,0.0223914145032896,0.0243510196571693,0.0136760663542567,0.0147396250795808,0.0429240095429983,0.244692805867835
800,0.119488766564525,0.0482100902136078,0.0128732140489072,0.00688936318385839,0.081167181046119,0.21303235494947
