"Batch","Eff_Obs","Eff_Exp"
430,2.00203425809411,1.99848221518597
431,2.00724256011894,1.99271980672916
432,2.02676979720542,1.9712688096147
433,1.96614247551258,2.00732957274112
434,2.00564015053553,1.97744334869485
435,1.99414533719214,1.95359392448648
436,1.99831889751133,1.94782690895688
437,1.99333494715831,1.96069681797926
438,1.9804215385709,1.99143706851183
439,1.96459954676191,1.9434485637408
440,1.97074182628066,1.97987092645514
441,1.94952137618509,1.99530126573002
442,1.97810537173052,1.95263268530766
443,1.98791455532794,1.98693484464607
444,1.99949205713584,1.99150820028787
445,2.02402932125325,1.97608635115906
446,2.0270388217015,1.99868069305568
447,1.9844003124624,1.98985564739327
448,1.97026048297951,2.02919664312385
449,1.99071716486872,1.97398904416097
450,1.97737322977305,1.97719862294014
451,1.97916843169326,1.94938298598849
452,1.95484413440948,1.99350991011387
453,1.98990725500492,1.99001782916179
454,1.98416813155389,2.01547178682498
455,2.01846404488309,1.99424573546302
456,1.97489677874617,1.97213581578232
457,1.96499969928715,2.02404317045856
458,1.97617305797489,1.99157662341663
459,1.97175204246942,1.95077533883655
460,1.99344190754149,1.96251037576085
461,1.96710469549844,1.95352890730265
462,1.97293012138698,1.96670759701369
463,1.97828385764698,1.97280023767129
464,2.00453263915062,1.95734703780972
465,1.98232201304658,1.99185891452514
466,1.98194079926659,1.98164875365622
467,2.02228053123945,1.9930814960569
468,1.98733263573154,1.95832679301037
469,1.93092467703439,1.94420141309247
470,1.99502373800086,1.9803819349422
471,1.96544515025793,1.95962771483562
472,1.97795647101075,1.99028510200618
473,1.96227137590183,2.00283597607037
474,1.98746547006095,1.97223035870234
475,1.97702674393747,1.9789003156166
476,1.98051927096835,1.97135778992968
477,1.98558687144793,2.01174592443593
478,2.00296831473526,1.94669330871235
479,1.97136100614765,2.00610421395293
480,1.96781750550755,1.97589278268206
481,1.97900646197383,1.98510989780498
482,2.02476064051256,2.01271871659869
483,2.02515863617426,1.99049117753264
484,2.00322049730438,1.95748348463327
485,1.96401383164039,1.97755318389069
486,1.95550127837745,1.9756144537546
487,1.98348180792747,1.97920892429413
488,2.00090331772582,2.03450381029462
489,1.98845569653372,1.98491671829403
490,1.9772520067889,1.9567128212097
491,1.98198408906854,1.98543683528049
492,1.96626001618312,2.00800039796481
493,1.98550010484239,1.98867215760667
494,1.98861571155685,1.95543763009652
495,1.99640262621762,2.01433583306707
496,1.98308392439275,1.97348439983163
497,1.9945419402346,2.01514058032942
498,1.94586887311998,2.00718381296131
499,1.98911389615831,1.99691605966977
500,1.99156255203136,2.01110957997162
501,1.98246499259667,1.97525205505921
502,1.99286771763504,1.97216053206314
503,1.9935272944819,2.0224191747472
504,1.95162371426149,1.99436371172879
505,2.02451120345359,1.99052916767219
506,1.98066455202934,1.99692790586345
507,2.01644561708901,1.96660306223313
508,1.96801642376211,1.97207872600887
509,1.99537726437356,1.99053521194076
510,1.97861139905112,1.98554168691021
511,1.98837581344742,1.99117820788649
512,1.96381042223961,1.97875164454581
513,1.98738212199394,1.9775308514444
514,1.99828604392171,1.97294693569214
515,1.9928812610833,1.98728171812439
516,1.97794916838342,2.00386023862572
517,1.94715492940898,1.97963821685819
518,1.96956744663697,1.96209551852963
519,1.98036719407641,1.97830015246636
520,1.95341954945178,1.97709672557123
521,1.98759001815531,1.98884497778231
522,1.9852992783498,1.97982608936411
523,1.96782586379898,1.96229987723056
524,1.9701816622779,1.94983220662506
525,1.99282599752637,1.98457954366352
526,1.96520849389847,1.97524076721608
527,2.00477133613899,2.00502025272937
528,1.9840299588332,2.0141443991362
529,2.0164933573183,1.93497054266615
530,1.99397837529087,1.99151539002608
531,1.98894698486896,1.99935898232989
532,2.00405509538894,1.96601584307479
533,1.94698522137418,1.96414834210759
534,1.98699349817323,1.97673254135049
535,2.01232984927658,1.94895564469414
536,1.97891702010031,1.99041017962394
537,1.94958721613274,1.98317917990159
538,1.92804678483566,1.99384816023967
539,1.96777922246428,1.99257183803324
540,1.99968046705613,1.98425829687061
541,1.9857142634035,1.99513624592696
542,1.97380702472964,2.00255399309253
543,1.98112346058673,1.97908340863215
544,1.96380389237217,1.99399331124458
545,1.99440040793551,1.98455190943165
546,2.00616300833036,1.99731988808299
547,1.98256226071413,1.95809075502564
548,1.9886562455868,1.96494030355843
549,1.97819313058889,1.94109206784224
550,1.98567383348577,1.98604243176913
551,1.99764152961982,1.96143092326294
552,1.98352822371246,1.98976884743566
553,1.95240288047638,1.98659896094954
554,1.97063692480429,1.99014448527224
555,2.01472957097034,1.94160462897381
556,2.005527936559,1.98285119839177
557,1.98345590656646,2.00603661356642
558,2.02007354912214,1.96673329301812
559,1.97939446087446,2.01793772696898
560,1.99390411694201,1.96478571921316
561,1.98842118549354,1.96465754863915
562,1.96533487231586,1.99616534645755
