"Seed","Est","SE","Est.1","SE.1","Est.0","SE.0"
28,-3.57186628813984,2.04020158407098,-9.80842542808546,1.69230758871192,-6.23655913994562,1.41805056968725
29,-1.11205899504552,1.99794839903236,-7.34861813499114,1.73496895425655,-6.23655913994562,1.41805056968725
30,-4.81542806484452,2.21616687757336,-11.0519872047901,2.11823604265535,-6.23655913994562,1.41805056968725
31,-2.6178582038737,2.19804532092376,-8.85441734381932,1.73848257613873,-6.23655913994562,1.41805056968725
32,-1.82124518487855,2.22046242385941,-8.05780432482417,1.8357991753434,-6.23655913994562,1.41805056968725
33,-3.22029417551333,2.10634043514363,-9.45685331545895,1.68823781604777,-6.23655913994562,1.41805056968725
34,-2.0455944803187,2.19574988658598,-8.28215362026432,1.90209348186336,-6.23655913994562,1.41805056968725
35,-2.9856024806641,2.22192377911517,-9.22216162060972,1.87792273949573,-6.23655913994562,1.41805056968725
36,-3.47399825205969,2.22206581977986,-9.71055739200531,1.96076262640055,-6.23655913994562,1.41805056968725
37,-4.43981697537406,2.24046853340184,-10.6763761153197,1.89830059139428,-6.23655913994562,1.41805056968725
38,-3.48018146418927,2.11550213080028,-9.7167406041349,1.80822602426811,-6.23655913994562,1.41805056968725
39,-3.10168415518794,2.17737792424872,-9.33824329513356,1.90168787349154,-6.23655913994562,1.41805056968725
40,-2.28429189263686,2.48481163735612,-8.52085103258248,2.18101676072757,-6.23655913994562,1.41805056968725
41,-2.62130333484957,2.14740571412764,-8.85786247479519,1.75704303119784,-6.23655913994562,1.41805056968725
42,-1.92874696781993,2.37266650533118,-8.16530610776555,2.25933609252486,-6.23655913994562,1.41805056968725
43,-2.35517765342887,2.04170814852733,-8.5917367933745,1.68485546651658,-6.23655913994562,1.41805056968725
44,-1.13070255396973,2.16342306542672,-7.36726169391536,1.82770480823081,-6.23655913994562,1.41805056968725
45,-3.82420724132925,2.17782641425766,-10.0607663812749,1.83486579983188,-6.23655913994562,1.41805056968725
46,-1.74025582362646,2.2466830480501,-7.97681496357208,2.02307373055417,-6.23655913994562,1.41805056968725
47,-5.3153276263686,2.36083755901953,-11.5518867663142,2.09261057820804,-6.23655913994562,1.41805056968725
48,-2.40777422511376,2.11085242671599,-8.64433336505939,1.72858138759919,-6.23655913994562,1.41805056968725
49,0.429982494390804,2.24391295623753,-5.80657664555482,1.90959125934497,-6.23655913994562,1.41805056968725
50,-2.07835433062535,2.18387424374774,-8.31491347057097,1.85476389642954,-6.23655913994562,1.41805056968725
51,-4.03285748790331,2.09555900092642,-10.2694166278489,1.75746980579014,-6.23655913994562,1.41805056968725
52,-2.37263711301736,2.01564130797968,-8.60919625296298,1.7275887319368,-6.23655913994562,1.41805056968725
53,-2.73499768319134,2.14575135407665,-8.97155682313696,1.95128822817617,-6.23655913994562,1.41805056968725
54,-2.03116242827887,1.96441556079547,-8.26772156822449,1.67754616362995,-6.23655913994562,1.41805056968725
55,-3.40064007258382,2.29558096159488,-9.63719921252944,1.8540544827212,-6.23655913994562,1.41805056968725
56,-3.01057241628465,2.05997441556798,-9.24713155623027,1.72559327606931,-6.23655913994562,1.41805056968725
57,-2.86213536544201,2.47509195295501,-9.09869450538763,2.0524857627261,-6.23655913994562,1.41805056968725
58,-1.5271746559194,1.95632989314302,-7.76373379586502,1.64709044138229,-6.23655913994562,1.41805056968725
59,-1.98260220869759,2.11125630911263,-8.21916134864321,1.68592590179478,-6.23655913994562,1.41805056968725
60,-3.08940333063829,2.414436328354,-9.32596247058391,2.06053371866957,-6.23655913994562,1.41805056968725
61,-2.95454592685762,2.37028831498218,-9.19110506680324,2.14247174717337,-6.23655913994562,1.41805056968725
62,-2.42764827756232,2.47871224860995,-8.66420741750794,2.219259027284,-6.23655913994562,1.41805056968725
63,-2.28219642920636,2.1494535148247,-8.51875556915198,1.82849073539434,-6.23655913994562,1.41805056968725
