Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.q11.PMMR,SE.h11.True,SE.q11.True
1.308287405,0.53715536,0.538585514,2.069887206,1.271831889,0.61,1.683858616,0.274102643,0.274863668,2.298985645,1.271831889,0.61,1.395286089,7.555876394,2.009265407,0.050029479
2.389124767,0.468783155,0.460474299,2.521561272,1.183651402,0.56,2.300406391,0.337872973,0.34022266,2.471878981,1.183651402,0.56,1.566894612,4.319159194,2.087032722,0.049609575
1.650924301,0.330913505,0.331096847,2.377730547,1.29637513,0.655,2.080223645,0.264471029,0.26141354,2.658921617,1.29637513,0.655,1.085768237,4.799609376,1.956319991,0.052129094
1.811627109,0.390958412,0.392853854,2.31920064,1.214108104,0.61,1.880778601,0.288167732,0.290157864,2.36138305,1.214108104,0.61,1.082057027,6.994412386,1.90825507,0.051096023
1.396058859,0.319586768,0.321265778,2.365750073,1.479252698,0.635,1.68440726,0.278197567,0.27795193,2.548851308,1.479252698,0.635,1.178590921,4.535565905,1.977430584,0.051260132
1.815379264,0.351651721,0.350042103,2.14043087,1.151049171,0.545,2.39613333,0.330886102,0.331247006,2.456941836,1.151049171,0.545,0.84837843,4.414435975,1.932089444,0.050904073
1.658785507,0.400094493,0.397845067,2.276811421,1.198600841,0.65,1.958251808,0.263855804,0.262686573,2.471464517,1.198600841,0.65,0.552125929,7.230935375,2.037145553,0.050414444
2.431015388,0.403553047,0.399834979,2.698622485,1.300788637,0.575,2.19610491,0.313832284,0.317520676,2.56354896,1.300788637,0.575,0.792653376,4.653537262,1.978829405,0.051573823
2.55696935,0.402443965,0.404339614,2.685682178,1.177070262,0.59,2.228183138,0.301786001,0.299464621,2.491698313,1.177070262,0.59,1.031899417,4.859438212,2.025900481,0.051278167
1.835670496,0.390712839,0.391659354,2.437871761,1.299756053,0.62,1.667639184,0.273804754,0.271489919,2.333692347,1.299756053,0.62,0.978242229,5.31936804,1.936953762,0.049843624
