Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.h01.PMMR,SE.h00.PMMR,SE.h2.PMMR,SE.q0.PMMR,SE.q11.PMMR,SE.h11.True,SE.h01.True,SE.h00.True,SE.h2.True,SE.q0.True,SE.q11.True
2.05828648,0.305100878,0.306192483,2.774987301,1.390235807,0.672769077,2.140592989,0.13391639,0.134043552,2.604480597,1.286386869,0.615761023,1.154192113,2.359099245,0.796272844,0.515152054,3.021244431,6.268752785,1.959375047,1.714014381,1.832779751,0.109395496,0.269329122,0.214412757
1.390737747,0.650647575,0.648121641,1.696943068,0.979971913,0.515532966,2.014445738,0.14610963,0.145224856,2.372120034,1.176173413,0.5936852,1.5227424,3.044978708,2.215196913,0.705134443,4.307733135,10.14362597,2.053495354,1.707079053,1.817374289,0.111029396,0.274775674,0.218191609
1.773320584,0.289416894,0.291947836,2.309248561,1.239123934,0.603458076,2.10005473,0.133929163,0.133774665,2.457629507,1.206837932,0.595599514,1.42618249,2.647214982,1.14622985,0.533205399,1.909559686,4.8996249,1.932930038,1.639966481,1.745490132,0.106381367,0.275086997,0.221384077
1.122093312,0.397756045,0.392607667,2.119585938,1.42007242,0.623400488,1.786151948,0.136942336,0.137497241,2.380001033,1.267140985,0.623048923,1.189880706,2.185143325,1.716925398,0.499747127,4.475684395,11.65690423,1.990371906,1.711774591,1.81816438,0.11085338,0.28668324,0.227917753
1.82509194,0.480648284,0.485451434,2.22423685,1.173275307,0.575840329,2.085452188,0.139573395,0.139191559,2.366520338,1.158178613,0.579414734,1.699280904,2.234780955,1.621247923,0.501007076,3.980485345,9.355361338,1.958401056,1.655483304,1.76448314,0.107274126,0.275895184,0.224477244
2.221370689,0.279174778,0.275721508,2.554339119,1.139642651,0.636857448,2.06154382,0.144029007,0.144144347,2.372721917,1.184604927,0.576323908,1.27706379,2.073766766,1.536174369,0.49331795,4.038104608,6.105973644,1.987339532,1.696350213,1.805543356,0.109600998,0.273099292,0.221122945
1.782666735,0.286390083,0.289977695,2.276548299,1.195269171,0.606551469,2.045965683,0.14049321,0.141591915,2.390264381,1.156616083,0.602966271,1.570498975,2.662969284,1.482374488,0.62325804,3.966463654,4.286668075,1.985815647,1.654407413,1.748301846,0.109272547,0.283497105,0.230901309
2.082525792,0.408550163,0.412641914,2.29528176,1.082975984,0.582132418,2.121820355,0.138112742,0.138759415,2.549510948,1.23564566,0.619216082,1.280316478,2.518163096,1.384191649,0.491902875,3.680790853,6.661525883,1.965532551,1.646075592,1.749791513,0.107204508,0.270461437,0.218833388
2.03292573,0.320756311,0.320285381,2.854094957,1.473375775,0.679178369,2.039732407,0.134099263,0.132966825,2.424898176,1.202172822,0.599453806,1.246202519,2.181346607,1.663179774,0.437143949,4.50795246,6.88080237,2.007907629,1.703302013,1.809164359,0.110903426,0.284894366,0.224363752
2.350581393,0.327891082,0.328615616,2.51305061,1.119900579,0.59268317,2.039928997,0.138856173,0.139845154,2.396370861,1.201581963,0.585701218,1.037247353,2.642459684,1.505011456,0.655424037,2.880088567,7.779424492,2.011884318,1.707386235,1.816388042,0.110652994,0.278846654,0.224498625
1.894872511,0.326580246,0.328148181,2.444019369,1.259864306,0.624925981,2.057087614,0.142969818,0.141850223,2.498583306,1.241645664,0.611027763,1.526591967,3.26959865,1.161639399,0.775935672,2.825538209,5.974198901,2.011731827,1.699081341,1.805670642,0.110557369,0.275817665,0.22161329
