"V1","V2"
1.99191485048094,1.99747207958048
1.99520326131997,1.99282341663617
1.99462529801869,2.0039575584952
2.00135360963248,1.98622409796442
2.00021259773314,2.00294401569278
2.00757206585693,1.99551398103579
1.98894612192237,1.99665575770664
2.00766638133986,2.00302026882313
1.99230363067213,1.99710402046654
1.99181387295834,1.9992971162894
1.99923304876756,1.99359394904441
2.00257876625617,1.99692066117168
1.99914296581892,1.99116023013501
1.99456729813097,1.99968018970923
1.99189816036804,1.99271043791116
1.99816545432827,1.9924770258244
1.99383028061637,1.99468979292839
1.99533813206022,2.00220530302524
1.99299362056138,2.00772695793595
1.99372571164817,1.98803523087559
1.99736603036455,2.00153546648649
1.98858127023521,1.99512507779175
1.99319170833346,1.98597431848351
2.00085113434004,1.99994661273138
1.99829968881257,1.9963966056305
1.99575601995037,1.99352813713014
2.00015398215797,2.00065547357101
1.99767185387961,1.99602395801112
2.00654207953461,1.99087184617213
1.9950577490698,1.99690310806447
1.99418081633912,1.99562564037822
1.99427187830892,1.99057899898834
1.993102341663,1.99273271609379
1.98716375617327,1.99562065178818
1.99257922580286,1.99646923383095
1.99429246623341,2.0002614652064
1.99287373580767,2.00499333859246
1.98551050605129,1.99275395615527
1.99528306083521,1.99094223318506
1.99699791005877,1.98246505688294
1.99405456380545,1.98574141209953
1.99729043165895,1.98769262382344
2.00368086144345,2.00097933038441
2.00266368726172,2.0032593668174
1.98069871328854,1.98970384932062
1.98416837819443,2.00012159876865
1.99514655166114,1.99654011879307
1.98931866818478,2.00166933123227
2.00275614811776,2.00262849817475
1.98906246294587,1.99553274347542
2.00568537612251,1.99500404240967
1.99193447742722,2.0010746777399
1.99506671732763,2.00116660670619
1.99467294216813,1.99741574251744
1.9860717017216,1.99414945048527
2.00267153506252,1.99737000714686
1.99947208145117,2.00102949045885
1.98137107311425,1.98828494618143
2.00440735517879,2.00248830389862
1.99898155730325,1.98954467842251
1.99023799025232,1.99439092249037
1.98978532561735,1.9951800227168
1.99687868162352,1.99348400678222
1.99415405482843,2.00180094036447
2.00336896954713,2.00555680444693
1.9933170605024,2.00416531451277
1.99421549760347,1.997321529359
1.9986339668113,1.99656098599068
2.00425962766655,1.99962812878982
1.99084960277787,1.99461159401872
1.99895157825748,1.99821581697467
2.00446800489,2.01066188489337
1.99505263583654,2.00543422995306
1.99376879703532,1.98768837762052
1.98749633509212,1.99082494795999
1.99256674706797,1.99517296529101
1.99071097727705,1.99292904529906
1.99323156300714,2.00317858201791
2.00128915032051,1.9975420573521
2.00237652885571,1.98694103732226
1.99937958407704,1.98836255533848
1.99874276506926,2.002347235902
2.00053154514583,1.99345914523305
1.9903088990118,1.991801806305
2.00019602872108,2.00481221808176
1.99375439794447,1.99423331856404
2.00033017336415,1.99684974492139
2.00137555831038,1.99762255994661
1.99231007268217,2.00628778855241
1.99963922076803,1.99247484624474
1.99938377987734,1.98562153551579
1.99079833435745,1.99723888642824
1.99452812879847,1.99778065936869
2.00320465922344,2.00165496875655
2.00025359359036,2.00197696981354
1.98503642426527,1.99819638064652
1.99589696144411,1.99078645896672
1.99372809468689,2.00402431124105
1.99704574652997,1.99756076974471
2.00107964688662,1.99765159870908
2.00337916359323,1.98972438854773
1.99490943188487,2.00102016853884
1.99636392657627,2.00288800800781
1.99977785890449,1.99079377553429
2.0000550461648,2.00166964986833
1.98775861593557,1.98954550735862
1.99987543894121,1.99569441448491
1.98770206508167,2.00317526918082
1.99655237303338,1.99376187902611
1.9875458434017,1.99348548530419
1.99804755655981,2.00446188399929
2.00225305872596,1.99954122919853
1.994592165862,2.00234383164484
2.00811137461636,1.99215687647303
1.99765262635111,2.0015947369291
1.99861486999009,1.99754542035881
1.9980783304393,1.98951098225668
1.99987707226536,1.99265129950226
2.00083882792183,1.99024496949433
2.00563064600917,1.99637464109216
1.99602998010342,1.9969269119155
1.99714415386557,1.99016156810266
1.99878435437264,1.99021969891686
1.99514712626554,1.99355296900268
1.99203444028123,2.00272305676157
1.99450377596967,2.00345427059793
2.00191813880501,1.9934542764474
1.99639008493837,1.98746488441445
1.98826195910312,1.99805672307264
1.99910100946065,1.99071649448347
2.00535191746082,1.99891927188557
1.99993432130833,1.99973250380815
1.99671610543503,2.0045246419551
1.98911767855263,1.98769751110273
1.99589477079903,1.99538059634369
2.00426188599463,2.00511951857255
1.99526223897339,2.01227039492162
1.99060739663014,1.9945974713225
2.00027554752944,1.99305240300044
1.99452405809615,2.01371369218932
1.99634484173726,2.00113652765883
2.00606022312465,1.989056476095
1.99125084831348,2.00241013145768
1.99171338742693,1.9938067665283
1.99545687441247,2.00423733577926
1.99598621473878,1.99160147842286
1.98807051678474,1.99393700325029
1.99815953386378,2.00576826452687
1.99964854626029,1.99696442088438
1.98973657551264,1.9947472935634
1.99315756001429,1.99888484164075
1.99322105725784,2.00088833396234
1.99402923468689,1.99126137642786
1.99205223939434,1.99395765144093
2.00692172881867,1.99276588588994
1.99990581140658,1.99744539402845
1.99464741143848,1.99500181164876
1.99697261808115,2.00608306033199
2.00214060065477,1.99922647434199
1.99698894089295,2.00030024655707
1.99851596120698,2.00035505495113
2.00460278998823,1.99285606750976
2.00417318177662,2.00298077203893
2.00380136437925,1.9974222866281
2.01389230696133,2.00290323069449
1.99951378074247,1.98790175856559
1.99410118138489,2.00266207017499
1.99518810633678,1.99897558708769
1.99273936103868,1.99502726308126
1.98543204756476,1.99412396046123
1.99723063632511,2.00131385631136
1.98479164323268,1.99213419723037
2.00149165448859,1.99364530102472
1.99740289391211,1.99012671952203
1.99869280025961,2.00430151204764
1.99988532153811,1.99244926196105
1.98794427635265,1.98663189911485
2.00054738767046,1.99370522406608
1.99061386956032,1.99520842171014
1.99774977078667,2.00231208746461
2.00433798485067,1.99655204466546
2.00333652895762,2.00166086713397
1.99847970497431,1.99318216826231
1.99868318211201,1.99060873047881
2.00379724618038,1.99501428583048
2.00547552543095,2.00637326349308
1.99599122338731,1.99734845919881
1.99237524956966,2.00456575518957
2.00648316857271,2.00038658630615
1.99621559164043,1.99714606955187
1.98783151678911,1.99977855887451
1.99966605299792,2.00478979188939
1.9995282291014,1.99476573772398
