"N","MSE.h11","MSE.h01","MSE.h00","MSE.h2","MSE.q0","MSE.q11"
12800,0.003213093,0.00225477,0.001984224,0.000695842,0.012219493,0.066149057
12800,0.004741095,0.003040327,0.001563901,0.000561652,0.008259371,0.055975991
12800,0.002028443,0.002854451,0.001611406,0.000575868,0.003325327,0.016139457
12800,0.006452643,0.002891223,0.002518877,0.000458467,0.012128485,0.039452569
12800,0.002888887,0.003429447,0.002165287,0.001055446,0.003748462,0.02872463
12800,0.002394689,0.003337366,0.002359552,0.000292867,0.009079837,0.031031006
12800,0.003803057,0.00243542,0.002943207,0.000724231,0.010154323,0.038222301
12800,0.006008462,0.003190981,0.002580431,0.000340499,0.00315709,0.021687734
12800,0.0022957,0.004619585,0.001904669,0.000488063,0.005106061,0.019240092
12800,0.002915616,0.001868605,0.000906713,0.000294908,0.006490559,0.033574801
12800,0.002847965,0.002570314,0.000959881,0.000676806,0.002557542,0.014176193
12800,0.003286053,0.001418549,0.002131189,0.000379744,0.00227354,0.026018084
12800,0.006910994,0.003118472,0.001577669,0.000660737,0.008462552,0.141268735
12800,0.002096855,0.003248241,0.002550387,0.001271714,0.004191853,0.040389277
12800,0.003917801,0.001240498,0.001760496,0.000180747,0.005154717,0.040388202
12800,0.00249499,0.003039113,0.001067858,0.000226615,0.003062072,0.017684842
12800,0.003490835,0.002435737,0.002327428,0.00056278,0.002527452,0.009826369
12800,0.007212106,0.002556954,0.001663796,0.000566746,0.004554981,0.073492805
12800,0.002909998,0.00271899,0.002530322,0.000315749,0.003978046,0.046698311
12800,0.000276826,0.001377311,0.001525978,0.000390452,0.016961343,0.043710328
12800,0.003792313,0.002177631,0.001643135,0.001654576,0.003215566,0.116141681
12800,0.001662882,0.003595364,0.002548363,0.001321096,0.001250988,0.02014268
12800,0.002510706,0.001365652,0.001693165,0.000449771,0.007514095,0.020183158
12800,0.001769781,0.001674382,0.002734057,0.000216638,0.000450012,0.010559923
12800,0.00580676,0.002595888,0.002974477,0.000372147,0.006366443,0.044394395
12800,0.001808378,0.002038809,0.0013597,0.001204882,0.005960541,0.065187595
12800,0.002044608,0.002653701,0.001912355,0.000207472,0.007456325,0.023426556
12800,0.003190395,0.003337512,0.002868125,0.000673259,0.007193719,0.032406279
12800,0.003688975,0.002813193,0.002044166,0.000252377,0.005050581,0.107733992
12800,0.001667196,0.004310668,0.001983267,0.001517982,0.005459011,0.049572726
12800,0.001966845,0.00280909,0.002364413,0.000612145,0.004325369,0.022902738
12800,0.004147346,0.002115242,0.001784595,0.001098192,0.002362711,0.063950508
12800,0.004439702,0.002871105,0.002485442,0.000326822,0.003175418,0.036389421
12800,0.005009057,0.005517049,0.004302485,0.001230596,0.005036818,0.034204481
12800,0.003202054,0.001992627,0.003037424,0.000753654,0.008446411,0.021615772
12800,0.004710426,0.004000968,0.002131625,0.000654773,0.004747266,0.01338864
12800,0.001114418,0.002245017,0.001217272,0.000284927,0.00110949,0.015687157
12800,0.001142536,0.001754709,0.002714834,0.000140201,0.005852795,0.005921982
12800,0.002140774,0.002150932,0.001354704,0.000757432,0.003616433,0.045512449
12800,0.005039519,0.002852168,0.001428083,0.00021213,0.002689353,0.017210324
12800,0.001017785,0.001610151,0.003405193,0.000226912,0.005289814,0.028566825
12800,0.003287808,0.003121536,0.001262192,0.001173049,0.005224126,0.052069828
12800,0.001509409,0.00218983,0.001060044,0.000264892,0.003598596,0.015783061
12800,0.00299916,0.001990029,0.001686409,0.000208985,0.002174393,0.029932399
12800,0.003627464,0.002604681,0.002515927,0.000536421,0.010234586,0.012437615
12800,0.004840088,0.003146857,0.001406913,0.000512301,0.003371856,0.021133154
12800,0.003398223,0.001976754,0.001705367,0.000267878,0.003138149,0.022798822
12800,0.003237147,0.00311501,0.001966908,0.000568919,0.003477399,0.015550518
12800,0.004444172,0.003189051,0.001928795,0.000576739,0.003227753,0.020143843
12800,0.002967664,0.003294534,0.00239629,0.001195026,0.002900719,0.038433118
12800,0.000641461,0.003533205,0.00167908,0.000775818,0.012002686,0.038962306
12800,0.001624882,0.002448834,0.002045618,0.000864637,0.010500497,0.064376516
12800,0.00315506,0.003647609,0.001751704,0.000586202,0.003620311,0.0129133
12800,0.002125432,0.002810832,0.002327551,0.000334565,0.002922025,0.044859192
12800,0.000699443,0.001785046,0.001968428,0.000360237,0.005496271,0.023126479
12800,0.003307291,0.003247316,0.00249846,0.000738738,0.003158324,0.012153771
12800,0.00038483,0.002550868,0.002035044,0.000975246,0.002176803,0.022335153
12800,0.001674934,0.001672848,0.001253841,0.000226557,0.004033205,0.019898659
12800,0.00176932,0.003313736,0.001033257,0.000255207,0.008391432,0.0508735
12800,0.003050327,0.002063171,0.001991445,0.000737365,0.001988139,0.016157234
12800,0.001442472,0.005761636,0.002473613,0.000621482,0.004612162,0.023025287
12800,0.000822378,0.001339924,0.000951991,0.000294988,0.002592498,0.056831239
12800,0.003964387,0.002631299,0.001737084,0.000609356,0.006856091,0.016577495
12800,0.000739736,0.001831668,0.000917112,0.000258326,0.007915588,0.037545521
12800,0.003076748,0.003756745,0.00163851,0.000534328,0.004823011,0.032924836
12800,0.001533217,0.002332875,0.001435563,0.000235048,0.005701761,0.045806602
12800,0.001849255,0.003730721,0.002593651,0.00048356,0.005213144,0.013058557
12800,0.002869407,0.002965272,0.001262819,0.000896553,0.00511078,0.026875917
12800,0.000813212,0.002790198,0.001805309,0.000782598,0.00489849,0.080412353
12800,0.000962327,0.002708713,0.001767325,0.000567876,0.00953698,0.015308213
12800,0.003004036,0.003078435,0.004198945,0.000292111,0.003995717,0.02101878
12800,0.003215256,0.006545496,0.001964172,0.000581419,0.00627233,0.241192381
12800,0.004344013,0.004662314,0.026258037,0.001207547,0.003122278,0.038871589
12800,0.006470423,0.0018901,0.001671476,0.00058067,0.007976534,0.036177095
12800,0.00275541,0.003464898,0.00098244,0.000730771,0.008174805,0.031235977
12800,0.001332132,0.004659512,0.002776409,0.000521882,0.014450531,0.02807772
12800,0.001385495,0.002062911,0.001314056,0.000341361,0.006133822,0.041979363
12800,0.005902758,0.002633878,0.001183416,0.000253605,0.005867353,0.041802604
12800,0.002985969,0.004174644,0.002865939,0.000729856,0.005428006,0.030927
12800,0.005782042,0.001413655,0.00157057,0.000238477,0.007231828,0.032146296
12800,0.003456033,0.003899763,0.001213082,0.000886491,0.0081505,0.103337899
12800,0.003092176,0.001653872,0.001830833,0.000278222,0.00367169,0.012028563
12800,0.004832003,0.003485562,0.001876883,0.00094577,0.001630974,0.02206294
12800,0.003747616,0.002680815,0.001083459,0.000633988,0.006072079,0.01794147
12800,0.003068811,0.001500965,0.002692028,0.000389752,0.009421513,0.04948954
12800,0.002892173,0.00252128,0.004105935,0.000549585,0.006701394,0.027413565
12800,0.002714366,0.003257122,0.001351955,0.000641663,0.009887874,0.018929377
12800,0.005041249,0.00230435,0.002216779,0.000201596,0.004524194,0.015878237
12800,0.003755066,0.003954873,0.00196755,0.000755843,0.007599322,0.030654744
12800,0.004364291,0.002879165,0.002296433,0.000692,0.004477173,0.059899225
12800,0.002859028,0.002854218,0.001162905,0.000652409,0.003508226,0.02244087
12800,0.001501659,0.002284338,0.001951907,0.000647616,0.002891055,0.071024964
12800,0.000640555,0.002292889,0.002488731,0.000327094,0.003587677,0.01603439
12800,0.0055862,0.002657441,0.001776388,0.000166273,0.000584558,0.026757805
12800,0.00714142,0.003100925,0.003330017,0.000628093,0.004143986,0.084832104
12800,0.0043855,0.001806471,0.001451082,0.000379579,0.00337466,0.047235827
12800,0.003151081,0.00291142,0.00244532,0.000569782,0.007718873,0.037714492
